uuid,year,high_ndmi_days
1361bc56-2ff8-4f4a-a30b-6446f8c3e5ec,2022,5
1361bc56-2ff8-4f4a-a30b-6446f8c3e5ec,2023,0
139786c1-bdfb-4416-9c3d-426b2a51a0b4,2024,5
1397c83d-6314-4dbe-820b-4d8c268989c5,2023,5
1397c83d-6314-4dbe-820b-4d8c268989c5,2024,355
13a14e47-a1f6-4cf1-890e-0ff1583c1a42,2024,0
13a4bc00-1dc9-479b-9706-88dc6a74260c,2020,0
13b5c56e-4243-4bc0-9e02-8251500bbf8d,2023,25
13b5c56e-4243-4bc0-9e02-8251500bbf8d,2024,305
13fc6911-b0bf-417b-bf91-e7d8976e28ec,2023,15
143847c5-eab2-4216-a136-fe96ab9fcf73,2022,20
143847c5-eab2-4216-a136-fe96ab9fcf73,2023,10
144cc80f-6a66-433c-adc5-a04059687a30,2022,0
147ce6d5-6ec1-411b-aaca-ff12e4fc67dc,2021,0
147ce6d5-6ec1-411b-aaca-ff12e4fc67dc,2022,15
